"","Stovenames","Stove_use","PMlevelstotal","PMsdtotal"
"1","A Electric","Water Heating",0,1
"2","A Electric","Cooking",0,1
"3","A Electric","Water Heating & Cooking",0,1
"4","B LPG","Water Heating",3,10.71
"5","B LPG","Cooking",9,20.69
"6","B LPG","Water Heating & Cooking",15,28.1
"7","C Gasifier","Water Heating",35,36.76
"8","C Gasifier","Cooking",67,57.75
"9","C Gasifier","Water Heating & Cooking",95,66.38
"10","D Charcoal","Water Heating",131,80.79
"11","D Charcoal","Cooking",185,98.68
"12","D Charcoal","Water Heating & Cooking",237,101.25
"13","E Imp. Wood","Water Heating",423,88.29
"14","E Imp. Wood","Cooking",466,83.23
"15","E Imp. Wood","Water Heating & Cooking",500,75.53
"16","F Trad. Wood","Water Heating",490,79.33
"17","F Trad. Wood","Cooking",531,73.24
"18","F Trad. Wood","Water Heating & Cooking",560,65.04
